HGHT (km)		TEMP (K)		PRES (hPa)
2.999E+02		1.850E+02		8.998E-02
2.998E+02		1.844E+02		9.026E-02
2.996E+02		1.849E+02		9.055E-02
2.995E+02		1.866E+02		9.083E-02
2.993E+02		1.884E+02		9.112E-02
2.991E+02		1.888E+02		9.140E-02
2.990E+02		1.881E+02		9.168E-02
2.988E+02		1.878E+02		9.196E-02
2.987E+02		1.883E+02		9.225E-02
2.985E+02		1.886E+02		9.253E-02
2.983E+02		1.879E+02		9.282E-02
2.982E+02		1.867E+02		9.311E-02
2.980E+02		1.856E+02		9.340E-02
2.979E+02		1.846E+02		9.369E-02
2.977E+02		1.837E+02		9.399E-02
2.975E+02		1.831E+02		9.429E-02
2.974E+02		1.837E+02		9.459E-02
2.972E+02		1.852E+02		9.489E-02
2.971E+02		1.867E+02		9.519E-02
2.969E+02		1.873E+02		9.548E-02
2.967E+02		1.871E+02		9.578E-02
2.966E+02		1.865E+02		9.608E-02
2.964E+02		1.857E+02		9.638E-02
2.963E+02		1.849E+02		9.668E-02
2.961E+02		1.844E+02		9.699E-02
2.959E+02		1.847E+02		9.730E-02
2.958E+02		1.857E+02		9.760E-02
2.956E+02		1.868E+02		9.791E-02
2.955E+02		1.873E+02		9.822E-02
2.953E+02		1.872E+02		9.852E-02
2.951E+02		1.864E+02		9.883E-02
2.950E+02		1.854E+02		9.914E-02
2.948E+02		1.846E+02		9.945E-02
2.947E+02		1.844E+02		9.977E-02
2.945E+02		1.849E+02		1.001E-01
2.944E+02		1.857E+02		1.004E-01
2.942E+02		1.865E+02		1.007E-01
2.940E+02		1.868E+02		1.010E-01
2.939E+02		1.864E+02		1.013E-01
2.937E+02		1.858E+02		1.017E-01
2.936E+02		1.856E+02		1.020E-01
2.934E+02		1.860E+02		1.023E-01
2.932E+02		1.865E+02		1.026E-01
2.931E+02		1.864E+02		1.029E-01
2.929E+02		1.858E+02		1.033E-01
2.928E+02		1.850E+02		1.036E-01
2.926E+02		1.846E+02		1.039E-01
2.924E+02		1.847E+02		1.042E-01
2.923E+02		1.849E+02		1.046E-01
2.921E+02		1.856E+02		1.049E-01
2.920E+02		1.866E+02		1.052E-01
2.918E+02		1.873E+02		1.056E-01
2.916E+02		1.876E+02		1.059E-01
2.915E+02		1.875E+02		1.062E-01
2.913E+02		1.872E+02		1.066E-01
2.912E+02		1.868E+02		1.069E-01
2.910E+02		1.868E+02		1.072E-01
2.908E+02		1.876E+02		1.076E-01
2.907E+02		1.884E+02		1.079E-01
2.905E+02		1.881E+02		1.082E-01
2.904E+02		1.869E+02		1.086E-01
2.902E+02		1.864E+02		1.089E-01
2.900E+02		1.870E+02		1.093E-01
2.899E+02		1.882E+02		1.096E-01
