HGHT (km)		TEMP (K)		PRES (hPa)
0.000E+00		1.944E+02		7.503E+00
7.353E+00		2.190E+02		3.916E+00
1.471E+01		2.007E+02		1.984E+00
2.206E+01		1.804E+02		9.372E-01
2.941E+01		1.741E+02		4.184E-01
3.676E+01		1.754E+02		1.859E-01
4.412E+01		1.755E+02		8.318E-02
5.147E+01		1.714E+02		3.700E-02
5.882E+01		1.630E+02		1.607E-02
6.618E+01		1.487E+02		6.544E-03
7.353E+01		1.377E+02		2.470E-03
8.088E+01		1.394E+02		9.018E-04
8.824E+01		1.453E+02		3.393E-04
9.559E+01		1.490E+02		1.339E-04
1.029E+02		1.403E+02		5.244E-05
1.103E+02		1.263E+02		1.906E-05
1.176E+02		1.198E+02		6.459E-06
1.250E+02		1.198E+02		2.161E-06
1.324E+02		1.235E+02		7.553E-07
1.397E+02		1.274E+02		2.813E-07
1.471E+02		1.300E+02		1.111E-07
1.544E+02		1.312E+02		4.688E-08
1.618E+02		1.318E+02		2.103E-08
1.691E+02		1.321E+02		1.009E-08
1.765E+02		1.323E+02		5.190E-09
1.838E+02		1.323E+02		2.853E-09
1.912E+02		1.324E+02		1.659E-09
1.985E+02		1.324E+02		1.040E-09
2.059E+02		1.324E+02		6.766E-10
2.132E+02		1.324E+02		4.566E-10
2.206E+02		1.324E+02		3.232E-10
2.279E+02		1.324E+02		2.334E-10
2.353E+02		1.324E+02		1.685E-10
2.426E+02		1.324E+02		1.276E-10
2.500E+02		1.324E+02		9.994E-11
