-------------------------------------------------
   PRES             HGHT              TEMP
    Pa              m                   K
-------------------------------------------------
7.50297e+02     0.00000e+00         1.94422e+02
3.91637e+02     7.35294e+03         2.19014e+02
1.98377e+02     1.47059e+04         2.00672e+02
9.37153e+01     2.20588e+04         1.80391e+02
4.18373e+01     2.94118e+04         1.74053e+02
1.85906e+01     3.67647e+04         1.75354e+02
8.31800e+00     4.41176e+04         1.75481e+02
3.70026e+00     5.14706e+04         1.71365e+02
1.60716e+00     5.88235e+04         1.62993e+02
6.54406e-01     6.61765e+04         1.48668e+02
2.46960e-01     7.35294e+04         1.37695e+02
9.01768e-02     8.08824e+04         1.39414e+02
3.39316e-02     8.82353e+04         1.45257e+02
1.33866e-02     9.55882e+04         1.49022e+02
5.24368e-03     1.02941e+05         1.40304e+02
1.90597e-03     1.10294e+05         1.26273e+02
6.45916e-04     1.17647e+05         1.19756e+02
2.16097e-04     1.25000e+05         1.19838e+02
7.55256e-05     1.32353e+05         1.23492e+02
2.81314e-05     1.39706e+05         1.27404e+02
1.11067e-05     1.47059e+05         1.29995e+02
4.68773e-06     1.54412e+05         1.31230e+02
2.10335e-06     1.61765e+05         1.31832e+02
1.00893e-06     1.69118e+05         1.32121e+02
5.19017e-07     1.76471e+05         1.32263e+02
2.85293e-07     1.83824e+05         1.32337e+02
1.65880e-07     1.91176e+05         1.32378e+02
1.04039e-07     1.98529e+05         1.32398e+02
6.76560e-08     2.05882e+05         1.32411e+02
4.56601e-08     2.13235e+05         1.32420e+02
3.23245e-08     2.20588e+05         1.32426e+02
2.33371e-08     2.27941e+05         1.32430e+02
1.68529e-08     2.35294e+05         1.32432e+02
1.27615e-08     2.42647e+05         1.32432e+02
9.99369e-09     2.50000e+05         1.32432e+02
