-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K
-----------------------------------------------------------------------------
  842.0   1619    5.0   -3.0     56   3.66     20      4  292.2  303.1  292.8
  838.0   1658    6.0   -5.0     45   3.16     30      5  293.6  303.2  294.2
  820.7   1829    5.2   -5.0     48   3.23     75     10  294.5  304.3  295.1
  817.0   1866    5.0   -5.0     48   3.24     79     10  294.7  304.6  295.3
  810.0   1936    6.6   -5.4     42   3.17     87      9  297.1  306.9  297.7
  790.6   2134    5.1   -6.2     44   3.05    110      7  297.6  307.0  298.1
  782.0   2224    4.4   -6.6     45   3.00    129      6  297.8  307.0  298.3
  761.7   2438    3.7   -5.9     50   3.25    175      5  299.2  309.3  299.8
  754.0   2520    3.4   -5.6     52   3.36    168      6  299.8  310.2  300.4
  733.5   2743    1.6   -8.2     48   2.82    150      7  300.2  309.0  300.7
  729.0   2793    1.2   -8.8     47   2.71    147      7  300.3  308.8  300.8
  700.0   3118   -1.5   -9.5     54   2.67    130      9  300.8  309.2  301.3
  685.0   3290   -3.1  -10.1     58   2.60    130     10  300.9  309.1  301.4
  653.7   3658   -6.1  -15.8     46   1.72    130     11  301.5  307.1  301.8
  650.0   3703   -6.5  -16.5     45   1.63    131     11  301.6  306.9  301.9
  604.3   4267  -11.4  -17.0     63   1.68    145     13  302.2  307.7  302.5
  593.0   4413  -12.7  -17.1     70   1.70    164     12  302.4  307.9  302.7
  567.0   4754  -14.7  -25.7     39   0.84    209     11  303.9  306.8  304.1
  562.0   4821  -14.5  -35.5     15   0.33    218     10  304.9  306.1  305.0
  557.9   4877  -14.5  -32.1     21   0.47    225     10  305.6  307.2  305.7
  556.0   4903  -14.5  -30.5     24   0.55    226     10  305.9  307.8  306.0
  551.0   4971  -15.1  -26.1     39   0.83    228     10  306.0  308.8  306.1
  540.0   5123  -15.9  -38.9     12   0.25    234      9  306.8  307.7  306.8
  530.0   5264  -16.7  -30.7     29   0.56    239      8  307.4  309.4  307.6
  503.0   5655  -18.9  -37.9     17   0.29    253      6  309.4  310.5  309.5
  500.0   5700  -19.3  -38.3     17   0.28    255      6  309.4  310.5  309.5
  473.9   6096  -22.4  -41.4     16   0.21    210      4  310.3  311.1  310.4
  467.0   6204  -23.3  -42.3     16   0.20    206      3  310.6  311.3  310.6
  454.6   6401  -24.6  -54.1      5   0.05    200      2  311.3  311.5  311.3
  447.0   6524  -25.5  -61.5      2   0.02    187      3  311.7  311.8  311.7
  400.0   7320  -32.1  -52.1     12   0.08    100      6  313.2  313.5  313.2
  383.1   7620  -34.7  -52.5     15   0.08    105      8  313.7  314.0  313.7
  366.7   7925  -37.3  -53.0     18   0.08    110     14  314.1  314.4  314.1
  362.0   8015  -38.1  -53.1     19   0.08    107     14  314.2  314.5  314.2
  355.0   8149  -38.7  -55.7     15   0.06    104     15  315.2  315.4  315.2
  322.0   8810  -44.5  -58.5     19   0.04     85     17  316.1  316.3  316.1
  306.2   9144  -46.4  -63.2     13   0.03     75     18  318.1  318.2  318.1
  300.0   9280  -47.1  -65.1     11   0.02     75     19  318.9  318.9  318.9
  292.0   9458  -48.3  -67.3      9   0.02     66     20  319.6  319.7  319.6
  278.9   9754  -50.4  -69.4      9   0.01     50     23  320.9  320.9  320.9
  250.0  10460  -55.3  -74.3      8   0.01     50     21  323.7  323.8  323.7
  245.0  10589  -56.1  -75.1      8   0.01     53     17  324.4  324.4  324.4
  242.0  10668  -56.5  -75.5      7   0.01     55     15  325.0  325.0  325.0
  240.0  10720  -56.7  -75.7      7   0.01     47     13  325.4  325.4  325.4
  236.0  10826  -55.7  -74.7      8   0.01     29     10  328.5  328.5  328.5
  230.6  10973  -56.7  -75.1      8   0.01      5      6  329.2  329.2  329.2
  226.0  11101  -57.5  -75.5      8   0.01    335      8  329.8  329.9  329.8
  219.8  11278  -56.5  -75.1      8   0.01    310     15  334.0  334.0  334.0
  216.0  11388  -55.9  -74.9      8   0.01    309     19  336.6  336.6  336.6
  209.0  11598  -55.9  -75.9      6   0.01    307     26  339.8  339.8  339.8
  200.0  11880  -52.7  -79.7      2   0.00    305     36  349.1  349.2  349.1
  198.0  11945  -51.7  -80.7      2   0.00    306     39  351.8  351.8  351.8
  191.0  12178  -52.9  -85.9      1   0.00    310     48  353.5  353.5  353.5
  190.6  12192  -52.8  -85.8      1   0.00    310     49  353.8  353.8  353.8
  186.0  12349  -52.1  -85.1      1   0.00    309     51  357.4  357.4  357.4
  178.0  12632  -53.3  -86.3      1   0.00    307     53  360.0  360.0  360.0
  157.0  13438  -54.1  -87.1      1   0.00    302     61  371.8  371.8  371.8
  150.0  13730  -55.3  -87.3      1   0.00    300     64  374.6  374.6  374.6
  140.0  14169  -56.7  -88.7      1   0.00    304     73  379.6  379.6  379.6
  137.0  14306  -56.9  -88.8      1   0.00    305     76  381.7  381.7  381.7
  136.6  14326  -56.9  -88.9      1   0.00    305     76  382.0  382.0  382.0
  128.0  14737  -57.3  -89.3      1   0.00    305     64  388.4  388.4  388.4
  124.0  14935  -58.3  -89.8      1   0.00    305     58  390.0  390.0  390.0
  121.0  15091  -59.1  -90.1      1   0.00    300     60  391.4  391.4  391.4
  118.2  15240  -59.0  -90.0      1   0.00    295     62  394.2  394.2  394.2
  115.0  15411  -58.9  -89.9      1   0.00    296     61  397.5  397.5  397.5
  110.0  15689  -60.9  -91.9      1   0.00    297     59  398.8  398.8  398.8
  100.0  16280  -62.1  -92.1      1   0.00    300     56  407.5  407.5  407.5
   82.3  17472  -65.3  -94.3      1   0.00    295     45  424.3  424.3  424.3
   73.6  18153  -63.5  -93.5      1   0.00    291     36  441.8  441.8  441.8
   72.0  18288  -63.9  -93.8      1   0.00    290     34  443.9  443.9  443.9
   70.0  18460  -64.3  -94.3      1   0.00    285     34  446.5  446.5  446.5
   66.3  18791  -65.7  -94.7      1   0.00    293     32  450.4  450.4  450.4
   55.6  19868  -63.1  -93.1      1   0.00    319     26  479.6  479.6  479.6
   50.0  20520  -63.7  -93.7      1   0.00    335     22  492.9  493.0  492.9
   49.1  20631  -64.3  -94.3      1   0.00    328     20  494.1  494.1  494.1
   45.0  21170  -60.7  -91.7      1   0.00    295     12  515.3  515.3  515.3
   43.9  21324  -61.7  -91.7      1   0.00    286      9  516.5  516.5  516.5
   43.8  21336  -61.7  -91.7      1   0.00    285      9  516.8  516.8  516.8
   39.7  21946  -60.8  -91.2      1   0.00    315      3  533.6  533.6  533.6
   37.8  22250  -60.4  -91.0      1   0.00    290     14  542.1  542.2  542.1
   36.0  22555  -60.0  -90.8      1   0.00    335     17  550.9  550.9  550.9
   34.3  22860  -59.6  -90.5      1   0.00    305      3  559.7  559.8  559.7
   34.0  22917  -59.5  -90.5      1   0.00    302      3  561.4  561.4  561.4
   31.5  23400  -56.3  -88.3      1   0.01    276      6  582.4  582.4  582.4
   30.0  23710  -56.3  -88.3      1   0.01    260      8  590.6  590.6  590.6
   29.7  23774  -56.3  -88.3      1   0.01    245     10  592.3  592.3  592.3
   27.8  24193  -56.3  -88.3      1   0.01    296     14  603.6  603.6  603.6
   27.0  24384  -57.2  -88.8      1   0.01    320     16  606.3  606.3  606.3
   26.0  24615  -58.3  -89.3      1   0.01    312     14  609.5  609.6  609.5
   25.7  24689  -57.1  -88.8      1   0.01    310     13  615.0  615.1  615.0
   25.6  24713  -56.7  -88.7      1   0.01    312     14  616.8  616.9  616.8
   24.5  24994  -56.5  -88.5      1   0.01    340     20  625.3  625.4  625.3
   23.3  25298  -56.2  -88.2      1   0.01    315     13  634.7  634.8  634.7
   22.2  25603  -56.0  -88.0      1   0.01    355     14  644.2  644.3  644.2
   21.1  25938  -55.7  -87.7      1   0.01    338     10  654.8  654.9  654.8
   20.2  26213  -54.2  -87.1      1   0.01    325      7  667.4  667.5  667.4
   20.0  26280  -53.9  -86.9      1   0.01    300     10  670.4  670.5  670.4
   19.3  26518  -53.2  -86.2      1   0.01    290     11  679.6  679.7  679.6
   18.4  26822  -52.4  -85.4      1   0.01    265     15  691.5  691.6  691.5
   17.7  27068  -51.7  -84.7      1   0.02    263     17  701.2  701.4  701.2
   16.7  27432  -51.1  -84.6      1   0.02    260     19  714.3  714.5  714.3
   15.7  27848  -50.5  -84.5      1   0.02    291     20  729.6  729.8  729.6
   15.2  28042  -51.0  -84.5      1   0.02    305     20  734.2  734.4  734.2
