HGHT (km)		TEMP (K)		PRES (hPa)
1.619E+00		2.781E+02		8.420E+02
1.658E+00		2.791E+02		8.380E+02
1.829E+00		2.783E+02		8.207E+02
1.866E+00		2.781E+02		8.170E+02
1.936E+00		2.798E+02		8.100E+02
2.134E+00		2.782E+02		7.906E+02
2.224E+00		2.775E+02		7.820E+02
2.438E+00		2.768E+02		7.617E+02
2.520E+00		2.765E+02		7.540E+02
2.743E+00		2.748E+02		7.335E+02
2.793E+00		2.743E+02		7.290E+02
3.118E+00		2.716E+02		7.000E+02
3.290E+00		2.700E+02		6.850E+02
3.658E+00		2.670E+02		6.537E+02
3.703E+00		2.666E+02		6.500E+02
4.267E+00		2.618E+02		6.043E+02
4.413E+00		2.604E+02		5.930E+02
4.754E+00		2.584E+02		5.670E+02
4.821E+00		2.586E+02		5.620E+02
4.877E+00		2.586E+02		5.579E+02
4.903E+00		2.586E+02		5.560E+02
4.971E+00		2.580E+02		5.510E+02
5.123E+00		2.572E+02		5.400E+02
5.264E+00		2.564E+02		5.300E+02
5.655E+00		2.542E+02		5.030E+02
5.700E+00		2.538E+02		5.000E+02
6.096E+00		2.507E+02		4.739E+02
6.204E+00		2.498E+02		4.670E+02
6.401E+00		2.485E+02		4.546E+02
6.524E+00		2.476E+02		4.470E+02
7.320E+00		2.410E+02		4.000E+02
7.620E+00		2.384E+02		3.831E+02
7.925E+00		2.358E+02		3.667E+02
8.015E+00		2.350E+02		3.620E+02
8.149E+00		2.344E+02		3.550E+02
8.810E+00		2.286E+02		3.220E+02
9.144E+00		2.267E+02		3.062E+02
9.280E+00		2.260E+02		3.000E+02
9.458E+00		2.248E+02		2.920E+02
9.754E+00		2.227E+02		2.789E+02
1.046E+01		2.178E+02		2.500E+02
1.059E+01		2.170E+02		2.450E+02
1.067E+01		2.166E+02		2.420E+02
1.072E+01		2.164E+02		2.400E+02
1.083E+01		2.174E+02		2.360E+02
1.097E+01		2.164E+02		2.306E+02
1.110E+01		2.156E+02		2.260E+02
1.128E+01		2.166E+02		2.198E+02
1.139E+01		2.172E+02		2.160E+02
1.160E+01		2.172E+02		2.090E+02
1.188E+01		2.204E+02		2.000E+02
1.195E+01		2.214E+02		1.980E+02
1.218E+01		2.202E+02		1.910E+02
1.219E+01		2.203E+02		1.906E+02
1.235E+01		2.210E+02		1.860E+02
1.263E+01		2.198E+02		1.780E+02
1.344E+01		2.190E+02		1.570E+02
1.373E+01		2.178E+02		1.500E+02
1.417E+01		2.164E+02		1.400E+02
1.431E+01		2.162E+02		1.370E+02
1.433E+01		2.162E+02		1.366E+02
1.474E+01		2.158E+02		1.280E+02
1.494E+01		2.148E+02		1.240E+02
1.509E+01		2.140E+02		1.210E+02
1.524E+01		2.141E+02		1.182E+02
1.541E+01		2.142E+02		1.150E+02
1.569E+01		2.122E+02		1.100E+02
1.628E+01		2.110E+02		1.000E+02
1.747E+01		2.078E+02		8.230E+01
1.815E+01		2.096E+02		7.360E+01
1.829E+01		2.092E+02		7.200E+01
1.846E+01		2.088E+02		7.000E+01
1.879E+01		2.074E+02		6.630E+01
1.987E+01		2.100E+02		5.560E+01
2.052E+01		2.094E+02		5.000E+01
2.063E+01		2.088E+02		4.910E+01
2.117E+01		2.124E+02		4.500E+01
2.132E+01		2.114E+02		4.390E+01
2.134E+01		2.114E+02		4.380E+01
2.195E+01		2.123E+02		3.970E+01
2.225E+01		2.127E+02		3.780E+01
2.255E+01		2.131E+02		3.600E+01
2.286E+01		2.135E+02		3.430E+01
2.292E+01		2.136E+02		3.400E+01
2.340E+01		2.168E+02		3.150E+01
2.371E+01		2.168E+02		3.000E+01
2.377E+01		2.168E+02		2.970E+01
2.419E+01		2.168E+02		2.780E+01
2.438E+01		2.159E+02		2.700E+01
2.461E+01		2.148E+02		2.600E+01
2.469E+01		2.160E+02		2.570E+01
2.471E+01		2.164E+02		2.560E+01
2.499E+01		2.166E+02		2.450E+01
2.530E+01		2.169E+02		2.330E+01
2.560E+01		2.171E+02		2.220E+01
2.594E+01		2.174E+02		2.110E+01
2.621E+01		2.189E+02		2.020E+01
2.628E+01		2.192E+02		2.000E+01
2.652E+01		2.199E+02		1.930E+01
2.682E+01		2.207E+02		1.840E+01
2.707E+01		2.214E+02		1.770E+01
2.743E+01		2.220E+02		1.670E+01
2.785E+01		2.226E+02		1.570E+01
2.804E+01		2.221E+02		1.520E+01
2.823E+01		2.216E+02		1.480E+01
2.837E+01		2.238E+02		1.450E+01
2.835E+01		2.235E+02		1.450E+01
2.865E+01		2.250E+02		1.390E+01
2.869E+01		2.252E+02		1.380E+01
2.896E+01		2.250E+02		1.330E+01
2.914E+01		2.248E+02		1.290E+01
2.926E+01		2.253E+02		1.270E+01
2.957E+01		2.264E+02		1.210E+01
2.987E+01		2.274E+02		1.160E+01
2.984E+01		2.274E+02		1.160E+01
3.050E+01		2.278E+02		1.050E+01
3.048E+01		2.278E+02		1.050E+01
3.079E+01		2.295E+02		1.010E+01
3.083E+01		2.298E+02		1.000E+01
3.109E+01		2.308E+02		9.600E+00
3.162E+01		2.328E+02		8.900E+00
3.200E+01		2.328E+02		8.400E+00
3.209E+01		2.328E+02		8.300E+00
