-------------------------------------------------
   HGHT            TEMP             PRES
    km              K                 bar
-------------------------------------------------
300.1835     185.0181   9.4731e-05    
300.0234     185.4348   9.5030e-05     
299.8635     185.7182   9.5328e-05     
299.7037     185.4970   9.5627e-05     
299.5440     184.8563   9.5928e-05     
299.3842     184.0790   9.6231e-05     
299.2242     183.7008   9.6536e-05     
299.0641     183.8890   9.6842e-05     
298.9041     184.2863   9.7149e-05     
298.7443     184.4031   9.7456e-05     
298.5847     183.7426   9.7765e-05     
298.4251     182.4472   9.8075e-05     
298.2651     181.4563   9.8390e-05     
298.1050     181.3808   9.8707e-05     
297.9449     181.8718   9.9024e-05     
297.7847     182.6683   9.9342e-05     
297.6246     183.8130   9.9659e-05     
297.4646     184.8793   9.9974e-05     
297.3051     184.9867   1.0029e-04     
297.1457     183.8769   1.0061e-04     
296.9861     182.4538   1.0093e-04     
296.8261     181.6448   1.0125e-04     
296.6662     181.3707   1.0158e-04     
296.5063     181.2238   1.0190e-04     
296.3461     181.4871   1.0223e-04     
296.1860     182.3299   1.0256e-04     
296.0261     183.1193   1.0289e-04     
295.8662     183.6178   1.0322e-04     
295.7063     184.0832   1.0354e-04     
295.5465     184.5113   1.0387e-04     
295.3867     184.7197   1.0420e-04     
295.2269     184.7105   1.0453e-04     
295.0673     184.4812   1.0486e-04     
294.9077     183.8464   1.0519e-04     
294.7480     182.9788   1.0553e-04     
294.5880     182.4887   1.0587e-04     
294.4281     182.5416   1.0621e-04     
294.2683     182.5717   1.0655e-04     
294.1086     182.2054   1.0689e-04     
293.9486     182.0785   1.0723e-04     
293.7884     182.8126   1.0757e-04     
293.6285     183.8431   1.0792e-04     
293.4689     184.2695   1.0826e-04     
293.3094     183.8328   1.0860e-04     
293.1497     183.0629   1.0895e-04     
292.9900     182.4785   1.0930e-04     
292.8301     182.2316   1.0965e-04     
292.6702     182.2406   1.1000e-04     
292.5105     182.1266   1.1036e-04     
292.3508     181.8008   1.1071e-04     
292.1910     181.5600   1.1107e-04     
292.0312     181.4703   1.1143e-04     
291.8712     181.6301   1.1178e-04     
291.7114     181.9983   1.1215e-04     
291.5517     182.1632   1.1251e-04     
291.3921     181.9136   1.1287e-04     
291.2325     181.3866   1.1323e-04     
291.0726     181.0988   1.1360e-04     
290.9127     181.2629   1.1396e-04     
290.7528     181.5476   1.1433e-04     
290.5931     181.6856   1.1470e-04     
290.4334     181.6744   1.1507e-04     
290.2736     181.7167   1.1544e-04     
290.1138     181.9417   1.1582e-04     
289.9539     182.2887   1.1619e-04     
289.7942     182.6273   1.1656e-04     
289.6346     182.6343   1.1694e-04     
289.4752     181.9536   1.1731e-04     
289.3157     180.9832   1.1769e-04     
289.1559     180.4131   1.1807e-04     
288.9960     180.2925   1.1846e-04     
288.8361     180.4452   1.1884e-04     
288.6763     180.8047   1.1923e-04     
288.5166     181.0385   1.1961e-04     
288.3570     180.9439   1.2000e-04     
288.1973     180.7812   1.2039e-04     
288.0376     180.6992   1.2078e-04     
287.8779     180.6567   1.2117e-04     
287.7182     180.6380   1.2157e-04     
287.5584     180.7115   1.2196e-04     
287.3985     181.0442   1.2236e-04     
287.2388     181.4971   1.2276e-04     
287.0793     181.4433   1.2315e-04     
286.9199     180.7632   1.2355e-04     
286.7604     180.0123   1.2395e-04     
286.6007     179.4934   1.2436e-04     
286.4409     179.3379   1.2476e-04     
286.2810     179.5844   1.2517e-04     
286.1213     179.8698   1.2558e-04     
285.9616     179.9353   1.2599e-04     
285.8020     179.9089   1.2640e-04     
285.6423     179.9741   1.2682e-04     
285.4823     180.4227   1.2723e-04     
285.3226     181.0687   1.2765e-04     
285.1630     181.3825   1.2806e-04     
285.0035     181.3889   1.2847e-04     
284.8439     181.2433   1.2889e-04     
284.6843     181.0302   1.2931e-04     
284.5246     181.0636   1.2973e-04     
284.3649     181.3051   1.3015e-04     
284.2053     181.4382   1.3057e-04     
284.0458     181.2803   1.3100e-04     
283.8866     180.5663   1.3142e-04     
283.7271     179.5623   1.3185e-04     
283.5674     178.9603   1.3228e-04     
283.4073     179.1873   1.3272e-04     
283.2473     180.1134   1.3315e-04     
283.0876     180.9915   1.3359e-04     
282.9282     181.2243   1.3402e-04     
282.7688     181.0427   1.3446e-04     
282.6091     180.9198   1.3489e-04     
282.4496     180.8845   1.3533e-04     
282.2901     180.6870   1.3577e-04     
282.1306     180.2884   1.3622e-04     
281.9711     179.8716   1.3666e-04     
281.8116     179.4661   1.3711e-04     
281.6520     179.1540   1.3756e-04     
281.4921     179.2337   1.3801e-04     
281.3324     179.6513   1.3847e-04     
281.1728     179.9547   1.3892e-04     
281.0132     180.0784   1.3937e-04     
280.8535     180.3685   1.3983e-04     
280.6937     180.9122   1.4029e-04     
280.5342     181.4075   1.4074e-04     
280.3747     181.5737   1.4120e-04     
280.2152     181.5623   1.4166e-04     
280.0556     181.6855   1.4212e-04     
279.8961     181.7885   1.4258e-04     
279.7367     181.6565   1.4304e-04     
279.5772     181.4494   1.4351e-04     
279.4177     181.2838   1.4397e-04     
279.2580     181.2939   1.4444e-04     
279.0984     181.4210   1.4491e-04     
278.9390     181.3920   1.4538e-04     
278.7794     181.3717   1.4586e-04     
278.6198     181.5289   1.4633e-04     
278.4603     181.6078   1.4681e-04     
278.3010     181.3450   1.4728e-04     
278.1417     180.7853   1.4776e-04     
277.9820     180.5066   1.4825e-04     
277.8221     180.8969   1.4873e-04     
277.6625     181.4785   1.4922e-04     
277.5030     181.8032   1.4970e-04     
277.3436     181.8258   1.5019e-04     
277.1843     181.6481   1.5067e-04     
277.0249     181.2881   1.5116e-04     
276.8656     180.7879   1.5166e-04     
276.7059     180.5539   1.5215e-04     
276.5462     180.7979   1.5265e-04     
276.3867     181.0686   1.5315e-04     
276.2273     181.0279   1.5365e-04     
276.0678     180.9320   1.5415e-04     
275.9082     181.0759   1.5465e-04     
275.7487     181.2859   1.5516e-04     
275.5895     181.1294   1.5566e-04     
275.4303     180.5670   1.5617e-04     
275.2708     180.0479   1.5668e-04     
275.1113     179.7959   1.5720e-04     
274.9519     179.5943   1.5772e-04     
274.7925     179.3055   1.5824e-04     
274.6330     179.1009   1.5876e-04     
274.4732     179.2745   1.5928e-04     
274.3135     179.7966   1.5981e-04     
274.1541     180.1788   1.6033e-04     
273.9950     180.0354   1.6086e-04     
273.8357     179.5729   1.6139e-04     
273.6762     179.2560   1.6192e-04     
273.5165     179.3595   1.6246e-04     
273.3569     179.7727   1.6299e-04     
273.1975     180.1053   1.6353e-04     
273.0381     180.2507   1.6407e-04     
272.8786     180.4158   1.6460e-04     
272.7192     180.5395   1.6514e-04     
272.5601     180.2507   1.6569e-04     
272.4012     179.4386   1.6623e-04     
272.2417     178.7515   1.6678e-04     
272.0817     178.9182   1.6733e-04     
271.9219     179.7253   1.6789e-04     
271.7626     180.3265   1.6844e-04     
271.6035     180.2999   1.6899e-04     
271.4441     180.1073   1.6955e-04     
271.2845     180.2501   1.7011e-04     
271.1250     180.5890   1.7067e-04     
270.9655     180.9013   1.7123e-04     
270.8060     181.3256   1.7179e-04     
270.6464     181.9081   1.7235e-04     
270.4872     182.3000   1.7291e-04     
270.3281     182.1850   1.7347e-04     
270.1689     181.7963   1.7403e-04     
270.0095     181.5843   1.7460e-04     
269.8500     181.6172   1.7517e-04     
269.6907     181.6254   1.7575e-04     
269.5315     181.4349   1.7632e-04     
269.3723     181.1569   1.7690e-04     
269.2129     180.9564   1.7748e-04     
269.0535     180.8772   1.7806e-04     
268.8940     180.9953   1.7864e-04     
268.7343     181.4639   1.7923e-04     
268.5748     182.0437   1.7981e-04     
268.4157     182.2532   1.8040e-04     
268.2567     181.9790   1.8099e-04     
268.0976     181.4397   1.8158e-04     
267.9382     181.0178   1.8217e-04     
267.7787     181.0341   1.8277e-04     
267.6191     181.3911   1.8337e-04     
267.4598     181.6509   1.8397e-04     
267.3009     181.4068   1.8457e-04     
267.1419     180.7770   1.8517e-04     
266.9824     180.4135   1.8578e-04     
266.8226     180.7071   1.8640e-04     
266.6631     181.2874   1.8701e-04     
266.5040     181.5470   1.8762e-04     
266.3449     181.4025   1.8824e-04     
266.1856     181.2299   1.8885e-04     
266.0262     181.2398   1.8947e-04     
265.8668     181.3698   1.9009e-04     
265.7076     181.4611   1.9072e-04     
265.5484     181.3761   1.9134e-04     
265.3893     181.1093   1.9197e-04     
265.2299     180.9623   1.9260e-04     
